table	name	alternative_name	definition	type	unit	example	comments
animals	acoustic_tag_id			string			
animals	acoustic_tag_id_alternative			string			
animals	age		Age of animal that carries tag, the units are specified in 'Age units'.	integer		2	
animals	age_unit		Units of age.	string		durif index	
animals	anaesthetic		Name of anaesthetic used if applicable.	string		Clove oil	
animals	anaesthetic_concentration		Concentration of anaesthetic.	string		0.5 ml/l	free text
animals	anaesthetic_concentration_in_recirculation		Concentration of anaesthetic in recirculation bath.	string		0.5 ml/l	free text
animals	animal_id			integer			
animals	animal_label		Identification code that uniquely identifies each animal, as specified by the researcher.	string		A82	
animals	animal_nickname		Nickname given to the tagged animal.	string		John	free text
animals	animal_project_code	animal_code	Animal project code; predefined options. Check your dashboard (https://www.lifewatch.be/etn/dashboard); new project names can only be added by administrators	string		CodNoise	
animals	aphia_id		The Aphia ID linked to the scientific name. The Aphia ID can be found at http://www.marinespecies.org/aphia.php?p=webservice	integer		126436	
animals	buffer		Name of buffer used if applicable.	string		Sodium Bicarbonate	
animals	buffer_concentration_in_anaesthetic		Concentration of buffer in anaesthetic.	string		0.1 ml/l	free text
animals	buffer_concentration_in_recirculation		Concentration of buffer in recirculation bath.	string		0.1 ml/l	free text
animals	capture_date_time		Date and time that animal was caught, in 24h UTC. Datetime fields should follow the ISO-8601 format.	datetime		2017-06-27T12:00:00Z	yyyy-mm-ddThh:mm:ssZ
animals	capture_depth		Water depth at which the animal was caught.	string	metres	25	free text
animals	capture_latitude		Latitude of capture location. Leave blank if same as release location. Note: in the southern hemisphere all latitudes must be negative.	number		51.36324	dd.ddddd
animals	capture_location		Name of capture location. Please refer to a specific nearby point of land, town, island, or body of water that uniquely identifies this tagging location. Okay to leave blank if same as release location.	string		Reefballs C-Power	free text
animals	capture_longitude		Longitude of capture location. Leave blank if same as release location. Note: in the western hemisphere all longitudes must be negative.	number		2.5902	ddd.ddddd
animals	capture_method		Name of the method and materials used to capture animal.	string		line fishing	free text
animals	capture_temperature_change		Difference between water temperature of the system where the fish was caught and the water temperature of the holding reservoir.	string	degrees celsius	5	
animals	comments		Any comments deemed to have scientific relevance by the tagger.	string			free text
animals	common_name		The species' common English name.	string		Atlantic cod	
animals	dissolved_oxygen		This measure is the lowest oxygen level the fish will experience during the surgery.	string		6 mg/l	free text
animals	dna_sample		Indicates whether the animal that carries the acoustic tag is also sampled for DNA.	string		y	y or n
animals	holding_temperature		This measure is the highest or lowest water bath temperature the fish will experience during holding (depends if surgical water temperatures are increasing or decreasing relative to initial water temperature reading). For example, if tagging is being cond	string	degrees celsius	5	
animals	length1		Length of animal that carries tag, depending on 'Length type', in units specified in 'Length units'.	number		46	
animals	length1_type		Specify type of length recorded (e.g. hood length, fork length, standard length, etc.).	string		total length	free text
animals	length1_unit		Units of length.	string		cm	
animals	length2		Secondary length measurement, depending on 'Length2 type', in units specified in 'Length2 units'.	number		9.5	
animals	length2_type		Specify type of secondary size measurement (e.g. width).	string		horizontal eye diameter	free text
animals	length2_unit		Units of secondary length.	string		mm	
animals	length3		Tertiary length measurement, depending on 'Length3 type', in units specified in 'Length3 units'.	number		7.23	
animals	length3_type		Specify type of tertiary size measurement (e.g. width).	string		vertical eye diameter	free text
animals	length3_unit		Units of tertiary length.	string		mm	
animals	length4		Quaternary length measurement, depending on 'Length4 type', in units specified in 'Length4 units'.	number		46.73	
animals	length4_type		Specify type of quaternary size measurement (e.g. width).	string		pectoral fin length	free text
animals	length4_unit		Units of quaternary length.	string		mm	
animals	life_stage		Life stage of animal. This will depend on the species being studied and can be a standard code used for that species, a description, or both.	string		FV	
animals	person_id		ID linked to the person conducting tagging	integer		25	
animals	pit_tag_number		PIT tag serial number	string		A69-9004-2210	
animals	post_surgery_holding_period		Time the animal is held after surgery until release.	string	hours	2	
animals	pre_surgery_holding_period		Time that animal is held prior to surgery.	string	hours	0.5	
animals	recapture_date_time		If applicable, date of recapture of the tagged animal.	datetime		2017-07-10T12:00:00Z	yyyy-mm-ddThh:mm:ssZ
animals	recapture_description		Description of recapture	string			free text
animals	recapture_latitude		Latitude of recapture location	number		51.36324	dd.ddddd
animals	recapture_location		Name of recapture location	string		Reefballs C-Power	free text
animals	recapture_longitude		Longitude of recapture location	number		2.5902	ddd.ddddd
animals	release_date_time		Date and time that tagged animal was released, in UTC.	datetime		2016-04-04T12:30:00Z	yyyy-mm-ddThh:mm:ssZ
animals	release_latitude		Latitude of release location. Note: in the southern hemisphere all latitudes must be negative.	number		51.36324	dd.ddddd
animals	release_location		Name of release location. Please refer to a specific nearby point of land, town, island, or body of water that uniquely identifies this tagging location.	string		Reefballs C-Power	
animals	release_longitude		Longitude of release location. Note: in the western hemisphere all longitudes must be negative.	number		2.5902	ddd.ddddd
animals	scientific_name		Scientific name of animal that carries the tag.	string		Gadus morhua	
animals	sedative		Name of sedative used if applicable.	string		aquacalm	
animals	sedative_concentration		Concentration of sedative.	string		0.5 ml/l	free text
animals	sensor_id_code		Tag sensor id code, only required when adding sensor settings in the metadata	integer		96811	
animals	sex		Sex of animal. "M" or "F". Can enter unknown ("U").	string		M	
animals	stock		Water body of origin. Can enter unknown or not applicable.	string		Southern Bight	
animals	surgery_date_time		Date that surgery was conducted. Date fields should follow the ISO-8601 format.	datetime		2017-06-27T12:00:00Z	yyyy-mm-ddThh:mm:ssZ
animals	surgery_latitude		Latitude of surgery location. Note: in the southern hemisphere all latitudes must be negative.	number		51.36324	dd.ddddd
animals	surgery_location		Short name of surgery location (i.e. hatchery name).	string		onboard RV	free text
animals	surgery_longitude		Longitude of surgery location. Note: in the western hemisphere all longitudes must be negative.	number		2.5902	dd.ddddd
animals	tag_context		context of tag	string			
animals	tag_end_date		Estimated date at which a tag will stop transmitting. This date is calculated automatically as the (Animals/Utc release date time) + (Tags/Estimated lifetime). When a tag was previously used in another animal for a certain period, this is incorporated	datetime		2017-07-10T12:00:00Z	yyyy-mm-ddThh:mm:ssZ
animals	tag_id		Select a tag. A tag code space will only appear here after adding the tag metadata in the tab 'Tags'.	string		A69-9004-2210	
animals	tag_serial_number		Tag serial number. If your animal is double tagged, add the serial numbers of both tags, separated by a comma.	string		123456	
animals	tag_subtype			string			
animals	tag_type			string			
animals	tagger		Person conducting tagging	string		Pieterjan Verhelst	
animals	tagging_methodology		Describe method and materials used to attach tag to animal.	string		inserted into abdominal cavity through midventral line incision, closed using 2 polydioxanone monofilament sutures.	
animals	tagging_type		Indicates how tag was attached to animal (e.g. "internal", "external", "oral", "gastric", "subcutaneous", etc.).	string		internal	
animals	treatment_type		Contains a designation of treatment group as appropriate for the particular study. Researchers will have to contact the authors directly for definitions. Try to make these as clear as possible (e.g. use Control instead of C, Lake release instead of Lake).	string		Control	free text
animals	weight		Weight of animal that carries tag, in units specified in 'Weight units'.	number		806.9	
animals	weight_unit		Units of weight.	string		g	
animals	wild_or_hatchery		Origin of animal that carries the tag.  Enter "wild", "hatchery" or "unknown".	string		wild	
deployments	acoustic_project_code			string			
deployments	activation_date_time			datetime			
deployments	ar_battery_installation_date		Date when the acoustic release was fitted with fresh batteries, in 24-hour UTC format.	datetime		2017-06-27T00:00:00Z	yyyy-mm-ddThh:mm:ssZ
